metric,pre,post,delta,delta_%
N,1877254.0,1998947.0,121693.0,6.482500503394853
P50,0.001513,0.00151,-2.9999999999999645e-06,-0.1982815598149349
P95,0.002406,0.002229,-0.00017700000000000007,-7.356608478802995
P99,0.005664,0.004727,-0.0009369999999999995,-16.543079096045187
P99.9,0.03187391599999927,0.043899378000000024,0.012025462000000757,37.72822266332456
MAX,29.501471,14.896076,-14.605394999999998,-49.507344904937106
>50ms,835.0,1450.0,615.0,73.65269461077844
>200ms,282.0,207.0,-75.0,-26.595744680851062
>1s,59.0,27.0,-32.0,-54.23728813559322
>5s,33.0,10.0,-23.0,-69.6969696969697
>10s,12.0,4.0,-8.0,-66.66666666666666
>20s,6.0,0.0,-6.0,-100.0
>50ms_per_million,444.7986260783037,725.3819135774986,280.5832874991949,63.08096991509146
>200ms_per_million,150.2194162324331,103.55452145554635,-46.664894776886754,-31.06448949627297
>1s_per_million,31.428884956431045,13.507111494201697,-17.921773462229346,-57.023255795023545
>5s_per_million,17.578867856986854,5.0026338867413696,-12.576233970245484,-71.54177431993702
>10s_per_million,6.392315584358856,2.001053554696548,-4.391262029662308,-68.69595175193072
>20s_per_million,3.196157792179428,0.0,-3.196157792179428,-100.0
