PRE_rank,PRE_port,PRE_delay_s,POST_rank,POST_port,POST_delay_s
1,64740,29.50147,1,34816,14.896076
2,64740,29.501432,2,39835,13.201838
3,64740,28.697327,3,60693,12.90149
4,64740,28.697306,4,34852,11.884904
5,65355,21.460737,5,56276,9.138433
6,33402,20.382025,6,55729,7.980429
7,65012,15.159164,7,58788,7.191574
8,64811,14.632699,8,58877,6.987527
9,64811,14.632626,9,58877,6.987485
10,64769,12.408076,10,56134,5.012777
11,57967,10.353886,11,58877,3.541625
12,64873,10.057732,12,58877,3.541599
13,64873,9.732589,13,58788,3.515006
14,64740,9.688486,14,58877,3.498804
15,64740,9.688464,15,58877,3.498774
16,64819,6.442686,16,59150,2.960484
17,64733,5.40408,17,55788,2.693081
18,64733,5.40389,18,60935,2.264217
19,64733,5.366189,19,39835,2.241069
20,64733,5.366119,20,52009,1.927265
