port,pkts,elapsed_s,max_gap_s,stall_gt_50ms,stall_gt_200ms
33354,5817,50.060638,27.342050,3,3
33384,146,153.301936,84.946871,2,2
33563,2328,147.054957,67.768957,17,11
33567,776,1.958859,0.356602,5,2
34730,15911,172.889140,14.453009,296,124
34753,442,128.864981,56.230473,16,16
34770,4387,170.525906,25.595033,32,27
34815,5887,152.445154,18.118038,15,12
34816,5595,171.832860,19.372500,22,14
34828,5716,164.730036,18.777127,18,13
34830,5731,165.055768,19.543081,15,12
34835,5583,169.867892,18.199279,20,13
34837,5014,171.491664,18.434804,23,13
34840,5851,167.906005,17.832371,15,13
34841,6285,166.010090,19.861261,22,12
34843,5775,164.692918,16.397023,16,12
34844,5648,165.182945,17.772087,19,12
34846,6412,165.892828,16.560106,19,13
34848,6392,175.492942,19.887631,25,14
34849,5602,165.872778,16.294842,18,12
34850,5876,169.129082,18.846142,16,13
34851,5690,168.674036,19.646824,20,12
34852,5466,169.885786,17.534438,20,13
34853,6271,166.209913,18.279781,16,12
34854,5622,166.130816,19.726449,19,12
34855,4990,166.467631,16.810795,22,13
34856,5459,166.738552,18.297332,20,14
34857,6938,165.646490,16.180429,16,12
34858,4918,168.284406,19.779405,19,13
34859,4792,164.951842,18.077405,18,12
34860,6638,156.733456,18.303742,17,11
35186,7904,74.707669,7.916058,97,61
35187,4,0.007577,0.005523,0,0
35190,7,0.005583,0.002303,0,0
35210,7,0.009543,0.005528,0,0
36624,981,154.849923,59.379448,39,37
36625,742,111.663046,26.865129,29,28
37213,946,149.045032,28.975976,39,29
37215,834,163.876097,106.348995,31,23
37312,3301,159.830985,28.291086,16,15
37610,2104,30.339802,19.825429,4,3
37611,3958,92.546129,58.249733,7,6
37684,4786,169.581199,122.399202,3,3
37694,894,136.676844,111.262298,6,6
38629,4352,23.846764,8.683977,3,3
38648,5000,135.101900,82.950791,4,4
39203,2854,7.478023,4.537486,1,1
39813,3788,3.738012,0.042516,0,0
39834,60,149.781271,149.389986,2,2
39835,5362,177.427485,13.200331,103,84
39929,7499,36.448884,28.443066,5,2
39940,16799,44.232771,22.767873,7,4
39943,32412,112.047585,48.312715,6,6
40040,18465,86.722802,25.638386,5,5
40565,4386,127.227059,32.632659,12,12
40740,1101,120.133369,78.580613,4,4
41149,7760,143.676011,21.310110,17,13
41788,2,0.001471,0.001471,0,0
41789,2,0.001532,0.001532,0,0
41793,2,0.001559,0.001559,0,0
41794,2,0.001607,0.001607,0,0
41799,2,0.001671,0.001671,0,0
41800,2,0.001665,0.001665,0,0
41805,2,0.001656,0.001656,0,0
41807,2,0.001651,0.001651,0,0
41813,2,0.001628,0.001628,0,0
41814,2,0.001913,0.001913,0,0
41818,2,0.001533,0.001533,0,0
41824,2,0.001683,0.001683,0,0
41825,2,0.001520,0.001520,0,0
41830,2,0.001672,0.001672,0,0
41831,2,0.001636,0.001636,0,0
41835,2,0.001629,0.001629,0,0
41836,2,0.001418,0.001418,0,0
41841,2,0.001443,0.001443,0,0
41842,2,0.001617,0.001617,0,0
41848,2,0.001718,0.001718,0,0
41849,2,0.001665,0.001665,0,0
41853,2,0.001762,0.001762,0,0
41854,2,0.001768,0.001768,0,0
41859,2,0.001537,0.001537,0,0
41860,2,0.001493,0.001493,0,0
41866,2,0.001580,0.001580,0,0
41867,2,0.001671,0.001671,0,0
41872,2,0.001680,0.001680,0,0
41873,2,0.001522,0.001522,0,0
41878,2,0.001755,0.001755,0,0
41879,2,0.001587,0.001587,0,0
41884,2,0.001479,0.001479,0,0
41885,2,0.001539,0.001539,0,0
41891,2,0.001551,0.001551,0,0
41892,2,0.001671,0.001671,0,0
41896,2,0.001609,0.001609,0,0
41897,2,0.001426,0.001426,0,0
41902,2,0.001691,0.001691,0,0
41903,2,0.001561,0.001561,0,0
41908,2,0.001518,0.001518,0,0
41909,2,0.001581,0.001581,0,0
41913,2,0.001518,0.001518,0,0
41914,2,0.001693,0.001693,0,0
41921,2,0.001525,0.001525,0,0
41922,2,0.001595,0.001595,0,0
41927,2,0.003147,0.003147,0,0
41928,2,0.002434,0.002434,0,0
41933,2,0.001627,0.001627,0,0
41934,2,0.002401,0.002401,0,0
41940,2,0.001528,0.001528,0,0
41941,2,0.001653,0.001653,0,0
41946,2,0.002223,0.002223,0,0
41947,2,0.001679,0.001679,0,0
41951,2,0.001620,0.001620,0,0
41952,2,0.001536,0.001536,0,0
41958,2,0.001614,0.001614,0,0
41959,2,0.001622,0.001622,0,0
41964,1504,1.619107,0.013228,0,0
41965,59158,109.139639,52.823980,9,2
41968,2,0.001671,0.001671,0,0
41969,2,0.001623,0.001623,0,0
41973,2,0.001783,0.001783,0,0
41975,2,0.001579,0.001579,0,0
41979,2,0.001526,0.001526,0,0
41980,2,0.001604,0.001604,0,0
41987,2,0.001634,0.001634,0,0
41988,2,0.001630,0.001630,0,0
41994,2,0.001693,0.001693,0,0
41995,2,0.001454,0.001454,0,0
42000,2,0.001762,0.001762,0,0
42001,2,0.001669,0.001669,0,0
42007,2,0.001545,0.001545,0,0
42008,2,0.001716,0.001716,0,0
42013,2,0.001722,0.001722,0,0
42014,2,0.002619,0.002619,0,0
42018,2,0.001684,0.001684,0,0
42019,2,0.001497,0.001497,0,0
42024,2,0.001524,0.001524,0,0
42025,2,0.001649,0.001649,0,0
42032,2,0.001583,0.001583,0,0
42033,2,0.002014,0.002014,0,0
42037,2,0.001835,0.001835,0,0
42038,2,0.001562,0.001562,0,0
42043,2,0.001578,0.001578,0,0
42044,2,0.001473,0.001473,0,0
42049,2,0.005768,0.005768,0,0
42050,2,0.001832,0.001832,0,0
42054,2,0.001669,0.001669,0,0
42055,2,0.001576,0.001576,0,0
42060,2,0.001588,0.001588,0,0
42061,2,0.001669,0.001669,0,0
42066,2,0.001765,0.001765,0,0
42067,2,0.001576,0.001576,0,0
42070,2,0.001667,0.001667,0,0
42072,2,0.001713,0.001713,0,0
42077,2,0.001645,0.001645,0,0
42079,2,0.001604,0.001604,0,0
42083,2,0.001742,0.001742,0,0
42085,2,0.001507,0.001507,0,0
42088,2,0.001580,0.001580,0,0
42091,2,0.001619,0.001619,0,0
42094,2,0.001520,0.001520,0,0
42097,2,0.001674,0.001674,0,0
42102,2,0.001593,0.001593,0,0
42104,2,0.002172,0.002172,0,0
42108,2,0.001627,0.001627,0,0
44355,23105,174.959644,38.886363,36,26
44384,12589,151.218269,43.984640,17,14
44434,1500,103.650090,101.891048,3,1
45132,2447,2.460607,0.014598,0,0
45980,116,0.169956,0.020665,0,0
50616,5292,169.864420,24.525017,21,21
51328,15598,181.957848,9.456398,303,132
51929,22417,95.463527,38.748249,39,25
51988,28058,134.575219,24.379574,29,24
52009,49135,177.754194,30.269746,85,60
52027,8456,160.597587,33.208457,162,81
52118,19056,83.062529,16.880914,39,30
52122,19797,156.028130,31.199861,17,13
52131,21681,154.919366,27.303621,16,13
52137,20917,116.263823,26.262611,21,15
52251,22368,149.004981,60.957309,15,13
52275,32,0.041056,0.012104,0,0
52279,28810,165.172593,20.390089,75,38
52337,38373,166.049376,38.268021,40,34
52441,25726,170.255236,28.472190,52,39
52448,13711,172.331134,50.827092,33,21
52451,49899,179.830643,19.415309,88,56
52536,2382,4.602638,0.822041,5,2
52594,2140,178.504882,9.411030,66,63
53346,11818,181.949853,29.690622,216,109
54210,16939,51.835789,7.582873,38,22
54230,50114,181.726561,20.852280,53,41
