port,pkts,elapsed_s,max_gap_s,stall_gt_50ms,stall_gt_200ms
33329,364,122.493351,60.797171,13,13
33334,322,0.396400,0.016879,0,0
33335,310,40.996474,25.980502,2,2
33361,803,156.703401,137.943905,2,2
33385,150,0.180138,0.005579,0,0
33387,2,0.001719,0.001719,0,0
33391,1368,122.682142,34.636866,17,16
33402,961,31.381133,20.380629,6,4
33407,508,110.136410,74.854345,4,4
33410,643,0.726429,0.024334,0,0
33411,2220,47.646709,45.389731,1,1
33422,84,49.518495,49.357208,1,1
33424,798,118.433389,117.680081,1,1
33438,4,0.003493,0.001679,0,0
33441,21,163.329052,106.719238,4,4
33474,1498,40.970907,38.748447,1,1
33476,162,0.453772,0.154872,1,0
33480,660,0.971660,0.161120,1,0
33490,356,0.415397,0.044241,0,0
33492,135,115.202798,82.353492,4,4
33495,2,0.001646,0.001646,0,0
33502,74017,179.956350,14.448227,54,43
33506,2773,11.840003,1.265360,18,11
33508,59758,179.956732,15.810952,52,42
33509,32174,85.197370,21.378726,22,17
33513,513,3.473845,1.013177,7,3
33517,214,0.187654,0.005922,0,0
33522,33290,155.557722,5.128275,265,131
33557,19972,176.605583,37.540160,156,90
33577,9015,140.286065,112.003498,29,17
33618,376,23.059417,18.183044,6,6
33629,3326,179.313325,39.771509,78,65
33633,33547,150.622814,23.680504,108,68
33642,26145,104.526603,29.777278,68,51
33644,4070,140.530674,12.016562,98,86
33649,46991,178.570278,9.891450,144,95
33653,37171,176.781682,46.391064,94,77
33656,47396,175.555678,15.741014,122,95
33658,36663,174.174020,57.759133,91,77
33665,1515,4.650904,2.875469,1,1
33666,40959,174.436336,23.691454,100,68
33668,16194,166.565914,69.978633,19,17
33672,14182,167.089794,92.946786,16,16
33677,54034,168.189662,6.692915,139,100
33698,554,91.279171,90.666500,1,1
33899,4858,178.211959,22.715635,45,42
33940,704,1.193526,0.508602,1,1
34350,1641,95.179050,50.499890,10,10
34786,1934,2.278242,0.013548,0,0
34787,27960,174.298303,67.201028,9,9
34842,4102,3.874795,0.027494,0,0
34844,18240,119.934391,60.315205,5,5
36706,5731,104.765947,97.858346,2,2
36721,70,53.935434,53.873690,1,1
41006,2860,40.047167,19.699268,7,7
41007,3029,86.959986,21.220851,14,14
44923,152,70.737133,70.590471,1,1
45986,15917,177.033851,15.461490,300,141
47352,2806,94.932005,16.437285,19,17
47353,2452,159.955536,91.311116,24,21
47439,2,0.001554,0.001554,0,0
47765,433,165.691017,71.208485,18,18
47766,436,169.788414,94.427596,18,18
47794,2,0.001639,0.001639,0,0
47796,2,0.001717,0.001717,0,0
47820,2,0.001561,0.001561,0,0
47821,2,0.001607,0.001607,0,0
47823,2,0.001576,0.001576,0,0
47825,2,0.001658,0.001658,0,0
47827,2,0.001685,0.001685,0,0
47828,2,0.001634,0.001634,0,0
47831,2,0.001648,0.001648,0,0
47833,2,0.001773,0.001773,0,0
47837,2,0.001526,0.001526,0,0
47838,2,0.001740,0.001740,0,0
47840,2,0.001766,0.001766,0,0
47841,2,0.001647,0.001647,0,0
47844,2,0.001792,0.001792,0,0
47845,2,0.001556,0.001556,0,0
47848,2,0.001690,0.001690,0,0
47849,2,0.001688,0.001688,0,0
47851,2,0.001560,0.001560,0,0
47852,2,0.002209,0.002209,0,0
47855,2,0.001686,0.001686,0,0
47856,2,0.001817,0.001817,0,0
47859,2,0.001760,0.001760,0,0
47860,2,0.001617,0.001617,0,0
47862,2,0.002985,0.002985,0,0
47863,2,0.001649,0.001649,0,0
47867,2,0.001684,0.001684,0,0
47869,2,0.001587,0.001587,0,0
47872,2,0.001624,0.001624,0,0
47873,2,0.001628,0.001628,0,0
47878,2,0.001661,0.001661,0,0
47879,2,0.001695,0.001695,0,0
47882,2,0.001874,0.001874,0,0
47883,2,0.001618,0.001618,0,0
47886,2,0.001701,0.001701,0,0
47888,2,0.001890,0.001890,0,0
47891,2,0.001546,0.001546,0,0
47892,2,0.001702,0.001702,0,0
47896,2,0.001727,0.001727,0,0
47897,2,0.002028,0.002028,0,0
47905,2,0.001680,0.001680,0,0
47908,2,0.001658,0.001658,0,0
47913,2,0.001676,0.001676,0,0
47914,2,0.001758,0.001758,0,0
47918,2,0.006157,0.006157,0,0
47920,2,0.002198,0.002198,0,0
47927,2,0.001685,0.001685,0,0
47932,2,0.001539,0.001539,0,0
47935,2,0.001746,0.001746,0,0
47940,2,0.001605,0.001605,0,0
47942,2,0.001721,0.001721,0,0
47944,2,0.001993,0.001993,0,0
47952,2,0.001707,0.001707,0,0
47953,2,0.001674,0.001674,0,0
47962,2,0.001634,0.001634,0,0
47963,2,0.001621,0.001621,0,0
47970,2,0.001641,0.001641,0,0
47971,2,0.001671,0.001671,0,0
47973,2,0.001594,0.001594,0,0
47974,2,0.001570,0.001570,0,0
47980,2,0.001495,0.001495,0,0
47982,2,0.001692,0.001692,0,0
47985,2,0.001704,0.001704,0,0
47987,2,0.001706,0.001706,0,0
47992,2,0.006245,0.006245,0,0
47996,2,0.002600,0.002600,0,0
48018,2,0.001648,0.001648,0,0
48019,2,0.001810,0.001810,0,0
48022,2,0.001693,0.001693,0,0
48023,2,0.001722,0.001722,0,0
48026,2,0.001719,0.001719,0,0
48028,2,0.001680,0.001680,0,0
48029,2591,145.039148,38.897274,8,5
48031,2,0.001682,0.001682,0,0
48032,2,0.001678,0.001678,0,0
48033,2638,144.039839,38.723076,10,5
48034,2652,164.967073,36.361382,11,6
48037,2,0.001671,0.001671,0,0
48038,2,0.001630,0.001630,0,0
48041,2461,143.833404,38.475747,11,5
48042,2219,169.157543,37.054852,8,6
48043,2239,145.041556,40.190191,9,6
48046,2566,159.637019,38.333788,9,6
48048,2740,145.986652,38.619807,9,5
48051,3485,170.779420,33.696923,12,7
48052,2,0.001652,0.001652,0,0
48053,3189,165.156748,32.097755,11,6
48054,3133,138.612972,37.215140,10,5
48055,3339,159.364978,35.696700,8,6
48056,16,0.146913,0.079532,1,0
48057,3678,163.011461,35.387506,11,6
48058,2826,140.878561,35.764264,8,5
48059,2700,168.077269,36.417702,9,7
48060,3296,170.071958,37.804714,9,6
48061,2,0.001665,0.001665,0,0
48064,2900,163.271506,35.690951,9,6
48065,2988,168.400930,32.977880,11,6
48066,3272,163.760568,37.873318,12,7
48067,2864,166.845355,33.954585,8,6
48068,2738,169.798251,33.680396,9,6
48069,2461,168.136145,33.850404,7,6
48070,2748,160.279380,38.987001,7,6
48072,2,0.001892,0.001892,0,0
48073,2,0.005629,0.005629,0,0
48076,2,0.001572,0.001572,0,0
48077,2,0.001620,0.001620,0,0
48080,2,0.001908,0.001908,0,0
48081,2,0.001789,0.001789,0,0
48083,2,0.001910,0.001910,0,0
48085,2,0.002967,0.002967,0,0
48088,2,0.001817,0.001817,0,0
48089,2,0.001912,0.001912,0,0
48092,2,0.001584,0.001584,0,0
48093,2,0.001751,0.001751,0,0
48095,2,0.001696,0.001696,0,0
48097,2,0.001684,0.001684,0,0
48100,2,0.001669,0.001669,0,0
48101,2,0.001568,0.001568,0,0
48104,2,0.001809,0.001809,0,0
48105,2,0.001759,0.001759,0,0
48108,2,0.001640,0.001640,0,0
48109,2,0.001648,0.001648,0,0
48114,2,0.001760,0.001760,0,0
48115,2,0.001838,0.001838,0,0
48119,2,0.001872,0.001872,0,0
48120,2,0.001886,0.001886,0,0
48127,2552,162.751606,32.911406,84,65
48129,1519,168.489928,58.975976,55,43
48323,2188,166.734256,35.364565,17,17
48453,572,128.105384,60.294595,3,3
48460,6664,129.029213,57.733065,4,3
48803,9966,129.194045,34.425568,10,9
48804,3902,71.527981,61.539403,6,5
49106,5355,165.393714,58.709171,9,9
49267,17924,156.983302,84.790488,4,4
49268,7030,18.208348,11.551009,1,1
49280,3302,158.095610,6.873557,133,119
49281,1534,176.160311,95.107605,20,17
49291,1263,162.345275,21.470669,46,44
49342,15817,174.129063,138.705223,3,2
49344,67499,143.457046,16.722910,13,12
49351,4274,4.349637,0.028788,0,0
49352,54167,154.248108,50.953407,11,8
49353,39025,148.614116,54.109089,8,6
49354,27595,148.096540,87.517224,5,4
49355,5386,5.894478,0.017382,0,0
49360,45374,41.279656,0.032767,0,0
49362,1651,1.468320,0.012609,0,0
49424,186,0.201052,0.031816,0,0
49432,12700,160.756790,23.082747,31,30
49457,12363,134.566299,93.330197,2,2
49473,2361,44.827697,26.564601,2,2
49501,8216,34.719059,27.296817,1,1
49701,83,0.143158,0.050535,1,0
50932,1468,1.289631,0.004990,0,0
50948,2540,13.470085,11.020099,2,2
53195,513,0.465765,0.017162,0,0
53196,19450,173.052613,26.555614,34,30
53220,23438,116.120185,25.052331,43,34
53255,9172,173.830019,53.945248,16,15
53277,2580,150.147151,83.039425,5,2
55573,1102,0.911843,0.007740,0,0
55576,9982,123.418803,66.920112,5,4
56035,2369,160.594869,49.267939,19,12
57701,31366,176.927750,39.461850,17,16
57730,20365,164.493905,60.879318,20,12
57845,7352,144.850469,128.914383,21,12
57868,3684,13.742395,9.627722,1,1
57879,3042,11.951262,3.625706,8,4
57897,31158,129.730266,14.564942,74,29
57908,1208,79.226135,10.956244,37,34
57922,9555,179.938848,128.946786,26,15
57949,40931,164.963986,14.574825,113,53
57952,26439,165.245691,24.982511,72,32
57967,18008,61.730107,10.352426,17,14
57987,15602,176.282348,6.187048,311,153
57993,13628,37.521013,6.642248,15,10
58014,1850,98.951892,10.080085,58,49
58081,7178,23.731988,7.648954,9,6
58087,12062,176.675953,13.570117,201,106
58156,43034,164.355869,23.536249,53,35
58187,32289,179.382587,36.641683,39,24
58201,38183,162.890008,24.738980,73,48
58215,9455,94.692310,43.675254,3,3
58259,60439,179.527540,11.922055,127,83
58325,6184,168.646588,18.121706,24,24
58342,4637,107.261908,57.520992,6,6
58345,27235,179.062986,54.354382,60,46
58352,34653,170.231066,15.001401,120,81
58469,48701,152.908053,9.909089,92,62
58499,2944,178.896930,25.674566,57,51
58510,1032,101.810225,49.805866,17,15
58550,41347,178.692608,39.783243,74,50
60019,22022,79.276854,21.078224,22,18
60074,5286,135.915096,120.160094,6,3
60103,39653,141.807428,8.900643,39,33
60118,36726,151.339520,11.999899,38,35
60127,41295,153.562800,11.221284,40,36
60138,9269,173.624441,67.818393,4,4
60169,5824,32.046046,18.369343,4,4
60484,51266,179.956248,21.305285,49,40
61430,39042,177.482194,22.915751,41,33
61454,44257,179.954894,30.007004,54,43
61457,6682,48.141884,6.882423,22,18
61473,16376,85.317965,19.139379,19,18
61496,35516,179.901659,30.087757,39,36
61500,33877,176.808582,31.016788,31,27
61519,9896,28.797950,6.179158,8,6
61520,14575,61.560079,14.996868,15,13
61523,24997,104.094538,17.414645,31,23
61525,35706,179.454258,60.268456,36,28
61533,27185,146.090372,60.502094,32,24
61540,19384,177.814798,83.081562,23,17
61542,5787,146.335159,56.072559,5,5
61546,36661,178.509174,24.094843,37,29
61555,44793,176.785544,22.581525,43,36
61557,43850,177.026212,12.875667,47,42
61563,38600,155.648933,13.323962,44,32
61585,24010,126.651611,50.833164,23,17
61639,14525,47.197335,4.748622,16,14
61862,27461,149.160338,52.989197,28,27
62019,36444,134.416404,15.163432,39,31
62395,11893,175.862244,47.797486,38,35
62514,10573,73.402321,5.554973,34,27
62548,10032,155.755650,61.094927,32,29
62559,22781,146.482937,11.586525,73,62
62615,21934,149.611850,32.041874,69,56
62642,10553,155.344092,82.238013,32,29
62669,14599,171.628583,40.547495,47,44
62677,14782,179.402773,32.663336,48,39
62689,26185,168.475166,10.788346,79,72
62703,13410,70.838055,5.719644,46,32
62725,14209,171.564729,27.283258,48,46
62750,8550,97.240189,42.758026,28,24
62755,8391,145.529360,70.602796,25,24
62767,11338,144.727180,29.961936,34,28
62769,8162,73.403450,14.691898,25,22
62771,8629,105.275511,21.640176,31,30
62783,5378,30.192874,7.202439,17,13
62788,1450,37.238375,32.980440,4,4
62799,19773,177.917813,47.798975,61,54
62805,5114,99.460433,31.251774,15,13
62808,20587,173.137865,17.322139,66,53
62819,11056,73.171909,6.820612,35,31
62822,7545,72.820188,28.444083,24,20
62857,7777,73.549853,30.065489,24,23
62886,9318,104.039620,14.036224,29,27
62892,290,0.272065,0.005815,0,0
62897,18586,131.116668,15.496400,56,44
62907,12002,174.163973,21.222001,239,163
62927,9491,82.275923,16.839879,23,21
62929,23933,150.622639,12.544240,78,70
63928,218,112.938829,83.603613,2,2
64440,5445,32.131654,8.007250,8,8
64460,11987,92.094793,23.179836,18,17
64501,12923,152.411568,35.440104,19,17
64502,12156,148.961098,53.796491,20,20
64606,1660,154.766208,74.269691,5,4
64723,30883,142.530592,20.585252,26,18
64730,341,1.207624,0.219235,3,1
64731,12374,44.564616,23.656799,9,4
64733,3897,172.774336,71.220480,13,11
64740,10029,167.809598,29.501433,25,25
64769,11579,124.499305,25.107271,85,63
64774,9750,145.637884,55.494341,70,57
64811,6035,135.312855,32.077653,16,16
64816,23240,140.080462,36.532500,14,12
64819,18098,146.733663,52.660402,51,38
64830,9693,102.474624,7.021598,65,51
64845,12687,56.926660,14.651233,42,32
64873,20854,150.947708,10.643542,27,26
64909,21384,132.273905,23.061639,77,52
64919,3146,77.074660,35.961360,24,23
64925,20975,124.772159,30.342179,82,61
64967,10890,150.071491,36.815137,82,66
64990,134,63.451106,46.034163,2,2
64994,11462,147.553699,70.079733,7,7
65011,29984,148.543034,14.570926,106,79
65012,6756,79.747059,23.943863,8,8
65150,5381,26.904112,3.872908,21,14
65184,29363,150.558555,19.459875,88,56
65192,5226,31.653239,26.418034,1,1
65209,13250,80.176221,25.382810,12,9
65212,35447,175.511667,12.783938,122,100
65213,24147,136.006014,17.514588,80,58
65217,36788,155.750945,37.597674,110,73
65219,37797,178.347090,37.300310,127,87
65249,3540,20.463447,11.973507,9,5
65275,3252,38.421398,19.000559,3,3
65297,16996,111.328183,8.460195,86,44
65311,2956,55.983523,28.201253,20,7
65318,43664,94.488457,10.923921,39,27
65320,39483,94.221458,11.177705,26,23
65323,20860,177.024620,59.228473,157,88
65324,42725,179.955656,31.407303,36,31
65331,18907,170.511377,34.312219,155,85
65334,19394,179.524268,28.459819,167,110
65335,4734,36.959942,5.992550,45,28
65336,5451,50.678558,8.679997,29,16
65338,30740,83.915242,11.867190,22,20
65344,6493,178.412123,83.526367,4,4
65347,6064,179.081556,58.207842,116,81
65350,9850,179.437593,46.515476,192,123
65351,7905,178.854877,73.855751,151,104
65355,11851,166.945655,25.759494,56,36
